filename_stem,filename,archive,reviewer,model
AGN_RealesCedDup_v030_exp874,AGN_RealesCedDup_v030_exp874_GT.txt,agn_realesceddup,6,GPT OSS 120B · 8 000 TPM
AGI_PATRONATO_182_R3_01,AGI_PATRONATO_182_R3_01_GT.txt,agi_patronato,6,GPT OSS 120B · 8 000 TPM
BnF_118_05,BnF_118_05_GT.txt,bnf_118,6,Llama 3.3 70B · 12 000 TPM
BnF_174_04,BnF_174_04_GT.txt,bnf_174,7,Llama 3.3 70B · 12 000 TPM
BnF_118_03,BnF_118_03_GT.txt,bnf_118,7,Llama 3.3 70B · 12 000 TPM
AGI_PATRONATO_181_R13_1,AGI_PATRONATO_181_R13_1_GT.txt,agi_patronato,7,GPT OSS 120B · 8 000 TPM
AGN_Inquisicion_v1568A_exp152_fs115-116v_04,AGN_Inquisicion_v1568A_exp152_fs115-116v_04_GT.txt,agn_inquisicion,7,Llama 3.3 70B · 12 000 TPM
BnF_113_43,BnF_113_43_GT.txt,bnf_113,7,Llama 3.3 70B · 12 000 TPM
AGN_IndiferenteVirreinal_caja4071_exp024_2,AGN_IndiferenteVirreinal_caja4071_exp024_2_GT.txt,agn_indiferentevirreinal,7,GPT OSS 120B · 8 000 TPM
BnF_110_29,BnF_110_29_GT.txt,bnf_110,7,Llama 3.3 70B · 12 000 TPM
BnF_264_02,BnF_264_02_GT.txt,bnf_264,7,Llama 3.3 70B · 12 000 TPM
AGN_AHHacienda_v268_exp046_02,AGN_AHHacienda_v268_exp046_02_GT.txt,agn_ahhacienda,7,Llama 3.3 70B · 12 000 TPM
AGN_RealesCedDup_v050_exp062,AGN_RealesCedDup_v050_exp062_GT.txt,agn_realesceddup,7,GPT OSS 120B · 8 000 TPM
BnF_112_08,BnF_112_08_GT.txt,bnf_112,7,Llama 3.3 70B · 12 000 TPM
BnF_032_39,BnF_032_39_GT.txt,bnf_032,7,Llama 3.3 70B · 12 000 TPM
AGN_GralParte_v001_exp1020_01,AGN_GralParte_v001_exp1020_01_GT.txt,agn_gralparte,7,Llama 3.3 70B · 12 000 TPM
BnF_113_22,BnF_113_22_GT.txt,bnf_113,7,GPT OSS 120B · 8 000 TPM
AGN_Indios_v002_exp835,AGN_Indios_v002_exp835_GT.txt,agn_indios,7,GPT OSS 120B · 8 000 TPM
BnF_119-148_33,BnF_119-148_33_GT.txt,bnf_119-148,7,Llama 3.3 70B · 12 000 TPM
AGI_PATRONATO_181_R13_2,AGI_PATRONATO_181_R13_2_GT.txt,agi_patronato,7,Llama 3.3 70B · 12 000 TPM
BnF_030_20,BnF_030_20_GT.txt,bnf_030,7,GPT OSS 120B · 8 000 TPM
BnF_111_22,BnF_111_22_GT.txt,bnf_111,7,Llama 3.3 70B · 12 000 TPM
BnF_112_04,BnF_112_04_GT.txt,bnf_112,7,GPT OSS 120B · 8 000 TPM
AGN_HospJesus_c205_exp041_04,AGN_HospJesus_c205_exp041_04_GT.txt,agn_hospjesus,8,Llama 3.3 70B · 12 000 TPM
BnF_113_25,BnF_113_25_GT.txt,bnf_113,8,Llama 3.3 70B · 12 000 TPM
utblac_JGI_XXIV-11_Justlahuaca_57,utblac_JGI_XXIV-11_Justlahuaca_57_GT.txt,utblac_jgi,8,Llama 3.3 70B · 12 000 TPM
utblac_gg_mss_g62_duplicated_09,utblac_gg_mss_g62_duplicated_09_GT.txt,utblac_gg,8,Llama 3.3 70B · 12 000 TPM
BnF_111_20,BnF_111_20_GT.txt,bnf_111,8,GPT OSS 120B · 8 000 TPM
utblac_JGI_XXIII-13_Atlatlauhca_03,utblac_JGI_XXIII-13_Atlatlauhca_03_GT.txt,utblac_jgi,8,Llama 3.3 70B · 12 000 TPM
AGN_Inquisicion_v1570A_exp134_fs159-160v_04,AGN_Inquisicion_v1570A_exp134_fs159-160v_04_GT.txt,agn_inquisicion,8,GPT OSS 120B · 8 000 TPM
BnF_394_10,BnF_394_10_GT.txt,bnf_394,8,Llama 3.3 70B · 12 000 TPM
BnF_111_21,BnF_111_21_GT.txt,bnf_111,8,Llama 3.3 70B · 12 000 TPM
utblac_eog_v_41_orig_03,utblac_eog_v_41_orig_03_GT.txt,utblac_eog,8,Llama 3.3 70B · 12 000 TPM
AGN_Marina_v002_exp024_005,AGN_Marina_v002_exp024_005_GT.txt,agn_marina,8,GPT OSS 120B · 8 000 TPM
AGI_CONTRATACION_1089_N8_176,AGI_CONTRATACION_1089_N8_176_GT.txt,agi_contratacion,8,Llama 3.3 70B · 12 000 TPM
BnF_032_15,BnF_032_15_GT.txt,bnf_032,8,GPT OSS 120B · 8 000 TPM
BnF_394_05,BnF_394_05_GT.txt,bnf_394,8,Llama 3.3 70B · 12 000 TPM
BnF_119-148_16,BnF_119-148_16_GT.txt,bnf_119-148,8,Llama 3.3 70B · 12 000 TPM
AGS_CE_RG_L379_05,AGS_CE_RG_L379_05_GT.txt,ags_ce,8,Llama 3.3 70B · 12 000 TPM
BnF_117_15,BnF_117_15_GT.txt,bnf_117,8,Llama 3.3 70B · 12 000 TPM
utblac_gg_mss_g62_duplicated_03,utblac_gg_mss_g62_duplicated_03_GT.txt,utblac_gg,8,Llama 3.3 70B · 12 000 TPM
AGN_Tierras_v039-2_exp003_41,AGN_Tierras_v039-2_exp003_41_GT.txt,agn_tierras,8,Llama 3.3 70B · 12 000 TPM
BnF_266_10,BnF_266_10_GT.txt,bnf_266,8,Llama 3.3 70B · 12 000 TPM
utblac_wbs_1433_duplicated_1,utblac_wbs_1433_duplicated_1_GT.txt,utblac_wbs,9,Llama 3.3 70B · 12 000 TPM
LoC_HPKraus_138_new_14,LoC_HPKraus_138_new_14_GT.txt,loc_hpkraus,9,Llama 3.3 70B · 12 000 TPM
BnF_243_16,BnF_243_16_GT.txt,bnf_243,9,Llama 3.3 70B · 12 000 TPM
BNE_ms3047_1,BNE_ms3047_1_GT.txt,bne_ms3047,9,GPT OSS 120B · 8 000 TPM
AGS_CE_RG_L379_04,AGS_CE_RG_L379_04_GT.txt,ags_ce,9,Llama 3.3 70B · 12 000 TPM
AGN_GralParte_v006_exp617_02,AGN_GralParte_v006_exp617_02_GT.txt,agn_gralparte,9,Llama 3.3 70B · 12 000 TPM
AGI_INDIFERENTE_1529_N8_06,AGI_INDIFERENTE_1529_N8_06_GT.txt,agi_indiferente,9,Llama 3.3 70B · 12 000 TPM
AGI_INDIFERENTE_2065_N45_09,AGI_INDIFERENTE_2065_N45_09_GT.txt,agi_indiferente,9,GPT OSS 120B · 8 000 TPM
BnF_118_02,BnF_118_02_GT.txt,bnf_118,9,Llama 3.3 70B · 12 000 TPM
BnF_394_07,BnF_394_07_GT.txt,bnf_394,9,Llama 3.3 70B · 12 000 TPM
AGN_GralParte_v006_exp617_01,AGN_GralParte_v006_exp617_01_GT.txt,agn_gralparte,9,GPT OSS 120B · 8 000 TPM
BnF_266_03,BnF_266_03_GT.txt,bnf_266,9,Llama 3.3 70B · 12 000 TPM
AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05_GT.txt,agn_hospjesus,9,Llama 3.3 70B · 12 000 TPM
AGN_Inquisicion_v1568A_exp152_fs115-116v_01,AGN_Inquisicion_v1568A_exp152_fs115-116v_01_GT.txt,agn_inquisicion,9,Llama 3.3 70B · 12 000 TPM
AMP_AC_v021__doc026_1,AMP_AC_v021__doc026_1_GT.txt,amp_ac,9,GPT OSS 120B · 8 000 TPM
BP_CM_32386_007_2,BP_CM_32386_007_2_GT.txt,bp_cm,9,Llama 3.3 70B · 12 000 TPM
BnF_030_27,BnF_030_27_GT.txt,bnf_030,9,GPT OSS 120B · 8 000 TPM
AGI_INDIFERENTE_1529_N36_07,AGI_INDIFERENTE_1529_N36_07_GT.txt,agi_indiferente,9,Llama 3.3 70B · 12 000 TPM
AGN_IndiferenteVirreinal_caja4071_exp024_1,AGN_IndiferenteVirreinal_caja4071_exp024_1_GT.txt,agn_indiferentevirreinal,9,Llama 3.3 70B · 12 000 TPM
utblac_JGI_XXIII-09_Amula_25,utblac_JGI_XXIII-09_Amula_25_GT.txt,utblac_jgi,9,Llama 3.3 70B · 12 000 TPM
