pattern_row_id,analysis_scope,model,normalised_annotated_form,effective_error_category,effective_subrule,distinct_annotations,affected_documents,affected_reviewers,affected_archives,example_surface_forms,example_documents,reviewers,archives,all_form_annotations,rule_share_for_form,rule_share_wilson_lower_95,recurrent_across_documents_and_reviewers
53,all_models,ALL_MODELS,como,Acentuación,No sub-rule assigned,4,4,2,4,como,BnF_112_02 | BnF_174_03 | UIA_Ms149_Exp2_51 | BnF_110_09,Arturo | Alba,bnf_112 | bnf_174 | uia_ms149 | bnf_110,4,1.0,0.5101091635454027,True
54,all_models,ALL_MODELS,de ellos,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",4,4,2,4,de ellos,BP_CM_R481_016 | BnF_075_026 | AGN_GralParte_v006_exp617_02 | AGN_Inquisicion_v1568A_exp152_fs115-116v_01,Arturo | Rodrigo,bp_cm | bnf_075 | agn_gralparte | agn_inquisicion,5,0.8,0.37553462976252533,True
55,all_models,ALL_MODELS,seiscientos,Abreviaturas,No sub-rule assigned,4,4,2,3,seiscientos,BnF_119-148_13 | BnF_110_09 | BnF_110_33 | BnF_118_05,Edna | Alba,bnf_119-148 | bnf_110 | bnf_118,8,0.5,0.2152160622138776,True
56,all_models,ALL_MODELS,s.,Abreviaturas,Expansión completa,6,3,3,2,s. | S.,BNE_ms3047_4 | BnF_174_03 | BNE_ms3047_1,Javier | Arturo | Rodrigo,bne_ms3047 | bnf_174,6,1.0,0.6096657120978346,True
57,all_models,ALL_MODELS,mando,Acentuación,No sub-rule assigned,4,3,3,3,mando,BnF_032_36 | BnF_112_02 | AGN_GralParte_v006_exp617_02,Paco | Arturo | Rodrigo,bnf_032 | bnf_112 | agn_gralparte,4,1.0,0.5101091635454027,True
58,all_models,ALL_MODELS,relacion,Acentuación,No sub-rule assigned,4,3,3,3,Relacion | relacion,BnF_112_23 | AGN_Indios_v019_exp354_2 | AGN_GralParte_v006_exp617_01,Edna | Alba | Rodrigo,bnf_112 | agn_indios | agn_gralparte,4,1.0,0.5101091635454027,True
59,all_models,ALL_MODELS,min,Abreviaturas,Expansión completa,4,3,3,2,min | Min,BnF_032_36 | BnF_032_33 | AGI_INDIFERENTE_1529_N36_07,Paco | Adriana | Rodrigo,bnf_032 | agi_indiferente,4,1.0,0.5101091635454027,True
60,all_models,ALL_MODELS,mexico,Acentuación,No sub-rule assigned,3,3,3,3,mexico,AGI_CONTRATACION_1089_N8_151 | BnF_112_23 | AGI_PATRONATO_182_R3_01,Paco | Edna | Alba,agi_contratacion | bnf_112 | agi_patronato,3,1.0,0.4385029682449545,True
61,all_models,ALL_MODELS,nra,Abreviaturas,Expansión completa,3,3,3,3,nra,AGI_GUADALAJARA_230_L2_F_45V-46V_2 | AGI_PATRONATO_182_R3_01 | BNE_ms3047_1,Adriana | Alba | Rodrigo,agi_guadalajara | agi_patronato | bne_ms3047,3,1.0,0.4385029682449545,True
62,all_models,ALL_MODELS,él,Cambios,Sustitución,3,3,3,3,él,AGI_PATRONATO_182_R3_04 | AGN_Indios_v002_exp835 | AGI_INDIFERENTE_2065_N45_09,Paco | Paloma | Rodrigo,agi_patronato | agn_indios | agi_indiferente,3,1.0,0.4385029682449545,True
